"ic","ci","scenario","year","lab","fill"
10.36408,54.1997669517376,"planned","2022.1","",NA
10.44408,54.1674397874194,"planned","2022.2","",NA
10.47208,54.1099881506704,"planned","2022.3","",NA
10.53208,53.9807424250387,"planned","2022.4","",NA
10.63208,53.9699112480871,"planned","2022.5","",NA
10.85208,53.9264288103092,"planned","2022.6","",NA
10.90608,53.9215076643858,"planned","2022.7","",NA
11.00608,53.9163910635948,"planned","2022.8","",NA
11.10788,53.9161798961504,"planned","2022.9","",NA
11.24188,53.8422375151133,"planned","2023","",NA
11.62188,52.9515578166676,"planned","2023.1","",NA
11.66388,52.8857461964269,"planned","2023.2","",NA
11.76888,52.7910709313547,"planned","2023.3","",NA
11.83188,52.3023442468498,"planned","2023.4","",NA
11.93188,52.0959595929694,"planned","2023.5","",NA
12.04188,51.7724052283048,"planned","2023.6","",NA
12.95388,51.5811096596805,"planned","2023.7","",NA
14.15388,51.53972723153,"planned","2025.1","",NA
15.47388,51.2542093515874,"planned","2025.2","",NA
16.13388,50.9605195470412,"planned","2025.3","",NA
17.21288,50.6991928354828,"planned","2025.4","",NA
19.08488,49.4135970549096,"planned","2025.5","",NA
19.73588,49.3228692224353,"planned","2025.6","",NA
19.73588,49.3062651572772,"planned","2030.1","",NA
19.80788,49.2908257428616,"planned","2030.2","",NA
19.86388,49.2908257428616,"planned","2030.3","",NA
19.92188,49.2072095889128,"planned","2030.4","",NA
19.92188,49.1566078049547,"planned","2030.5","",NA
19.94188,49.1395691754755,"planned","2030.6","",NA
20.00188,49.1319624475632,"planned","2030.7","",NA
20.10188,49.0841978411985,"planned","2030.8","",NA
20.12588,48.516223433235,"planned","2030.9","",NA
20.18988,48.5050451822891,"planned","2031","",NA
20.19988,48.3336549188437,"planned","2031.1","",NA
20.52988,48.0183866358669,"planned","2031.2","",NA
20.54988,47.9895893569032,"planned","2031.3","",NA
20.55248,47.9895893569032,"planned","2031.4","",NA
20.57548,47.5838517469942,"planned","2031.5","",NA
20.67148,47.5619292310435,"planned","2031.6","",NA
20.71948,47.506112250936,"planned","2031.7","",NA
20.97948,47.3875103574756,"planned","2031.8","",NA
21.27948,47.2858603762715,"planned","2031.9","",NA
21.46948,46.6339694157233,"planned","2032","",NA
22.36948,46.2609007355188,"planned","2032.1","",NA
24.96948,43.8194591676872,"planned","2032.2","",NA
24.96948,46.4692376503292,"mitigation","","",NA
20.32948,52.4331916431986,"mitigation","","",NA
18.72348,54.1934238446534,"mitigation","","",NA
15.73748,57.580755012312,"mitigation","","",NA
14.76048,58.0849268714791,"mitigation","","",NA
21.20148,51.5641168736679,"mitigation","","",NA
20.81548,52.1111676337119,"mitigation","","",NA
18.11848,55.3594093685057,"mitigation","","",NA
20.30148,52.7645922952267,"mitigation","","",NA
22.56548,50.2651866545147,"mitigation","","",NA
17.68148,56.2299600774701,"mitigation","","",NA
10.69848,58.9685924646178,"mitigation","","",NA
14.94648,57.8634282696956,"mitigation","","",NA
21.43148,51.1243766036881,"mitigation","","",NA
17.30548,56.7359210333765,"mitigation","","",NA
22.27148,50.4625084617159,"mitigation","","",NA
24.87048,47.2356182853565,"mitigation","","",NA
16.51148,57.3636712429189,"mitigation","","",NA
23.04848,49.9257814458177,"mitigation","","",NA
24.24948,48.4580829982835,"mitigation","","",NA
24.46148,48.1199919579868,"mitigation","","",NA
11.89848,58.800822266556,"mitigation","","",NA
16.08568,57.4586423999084,"mitigation","","",NA
24.82948,47.5422293759055,"mitigation","","",NA
16.86148,57.2160903288733,"mitigation","","",NA
17.07748,56.8968477575635,"mitigation","","",NA
18.96748,53.9454658351972,"mitigation","","",NA
18.38848,55.1570427952151,"mitigation","","",NA
17.90148,55.7148786872096,"mitigation","","",NA
13.41248,58.4498411868339,"mitigation","","",NA
13.64248,58.2883655305939,"mitigation","","",NA
13.25848,58.5079056626316,"mitigation","","",NA
20.17148,53.1176767372526,"mitigation","","",NA
12.86448,58.6833375676555,"mitigation","","",NA
12.48868,58.7304759750241,"mitigation","","",NA
22.43548,50.4035656044054,"mitigation","","",NA
19.02348,53.914024128216,"mitigation","","",NA
16.67548,57.3416618150213,"mitigation","","",NA
14.04448,58.2229077450369,"mitigation","","",NA
17.73548,55.9082388829821,"mitigation","","",NA
