"OBJECTID","Code","Name","Lat","Lon","Head","DesignQ","Ad_MRC","MeanQ_m3s","InstalledC","MeanAnnual","Cost_MioD","FSL","LSL","LiveStorag","GrossStora","ReservoirA","DamHeight","ReferenceY","ReferenceB","COD","Status","log_IC","status","country","incl","rem","mit","scen"
1,"L001","Nam Ngum 1",18.5305999848,102.550000046,38.5,414.4,8460,427,155,1006,97,212,196,1002,7003.99,369.42,75,1971,97,1971,"E",2.19033169817029,"existing","L","1","0","0","B1"
5,"L005","Theun-Hinboun",18.258299987,104.56110004,225.5,106,8927,460,220,1327,240,400,395,15,29.94,6.25,27,1994,240,1998,"E",2.34242268082221,"existing","L","1","0","0","B1"
12,"L012","Xekaman 3",15.4360999912,107.336700023,102,62.24,712,29.56,250,982.8,266,960,925,108.54,141.5,5.2,99,2004,266,2015,"C",2.39794000867204,"existing","L","1","0","0","B1"
14,"L014","Nam Ngum 2",18.7532999852,102.776700045,159.5,448,5640,193.5,615,1976,760,375,335,2970,3590,122.2,181,2005,760,2012,"E",2.78887511577542,"existing","L","1","0","0","B1"
15,"L015","Nam Lik 1-2",18.7957999846,102.120800047,74.5,187,1993,99.4,100,460,149,305,270,826,1341.8,24.4,101.4,2005,149,2010,"E",2,"existing","L","1","0","0","B1"
17,"L017","Xekaman 1",14.963299991,107.151700023,101.2,344,3580,175,290,1096,343.6,230,218,1683,4804,149.8,110,2007,343.6,2017,"C",2.46239799789896,"existing","L","1","0","0","B1"
19,"L019","Theun-Hinboun expansion",18.258299987,104.56110004,225.5,110,8937,215,220,1395,185,400,395,15,29.94,6.3,27,2007,185,2013,"E",2.34242268082221,"existing","L","1","0","0","B1"
20,"L020","Theun-Hinboun exp. (NG8)",18.2791999871,104.63610004,47,134,2942,95.7,60,294,163,455,420,2262,2450,105,67,2007,163,2013,"E",1.77815125038364,"existing","L","1","0","0","B1"
21,"L021","Nam Ngum 3",19.0832999856,102.878300046,301,103,3888,98,480,2077,684.7,720,660,1411,1322,27.5,220,2006,684.7,2019,"C",2.68124123737559,"existing","L","1","0","0","B1"
22,"L022","Nam Theun1",18.3566999865,104.148300041,130,519.9,14070,263,600,1840,816,292,250,2921,2772,80.7,177,2007,816,2020,"C",2.77815125038364,"existing","L","1","0","0","B1"
23,"L023","Nam Ngiep 1",18.6466999859,103.521700043,127,230,3700,147,272,1327,366.2,320,296,1192,2241,66.9,151,2001,366.2,2019,"C",2.4345689040342,"existing","L","1","0","0","B1"
24,"L024","Nam Ngiep-regulating dam",18.647799986,103.571900043,10,160,3750,164,18,108,29.7,181,176,4.7,8.29,11.1,21,2001,29.7,2019,"C",1.25527250510331,"existing","L","1","0","0","B1"
25,"L025","Nam Tha 1",20.249399985,100.892200051,65.5,289.5,8990,168,168,759.42,333.621,455,442.5,675.5,954.41,64,93.65,2007,333.621,2019,"C",2.22530928172586,"existing","L","1","0","0","B1"
28,"L028","Xekatam",15.1353811065,106.589060032,455,16,38,12.25,68,380,120.235,911,890.5,121,126,7.8,41.4,2006,120.235,2020,"E",1.83250891270624,"existing","L","1","0","0","B1"
29,"L029","Xekong 4",15.5138999901,106.787800026,140,240,5400,205,380,1901,815.4,290,270,3100,10500,170.3,169,2007,815.4,2022,"P",2.57978359661681,"planned","L","1","0","0","B1"
30,"L030","Nam Kong 1",14.5528641293,106.729866692,186,44.5,1250,42,150,469,159.14,320,287,505,682.7,21.8,86.9,2007,159.14,2019,"E",2.17609125905568,"existing","L","1","0","0","B1"
31,"L031","Xe Kong 3up",15.3840500114,106.776643726,33.7,460,5882,240.25,105,598.72,168.27,160,155,95.1,0,20.8,41.5,2007,168.27,2022,"P",2.02118929906994,"planned","L","1","0","0","B1"
33,"L033","Xe Kong 5",15.9749999903,106.930600026,180,210,2518,137,330,1201,417,487,485,1700,3300,32.75,213.7,2007,417,2019,"P",2.51851393987789,"planned","L","1","0","0","B1"
35,"L035","Nam Ou 1",20.1266999859,102.303300049,16,1308,25979,614,180,829,247.11,305,300,89,157.5,10.712,65,2007,247.11,2019,"E",2.25527250510331,"existing","L","1","0","0","B1"
38,"L038","Nam Ou 4",21.1343999871,102.48810005,23,710,11799,295,132,337,105.64,400,395,1145,104,13.9,47,2007,105.64,2019,"E",2.12057393120585,"existing","L","1","0","0","B1"
39,"L039","Nam Ou 5",21.4257999873,102.34610005,49,547,10371,280,240,496,175.37,430,425,142,89.5,15.5,55,2007,175.37,2017,"C",2.38021124171161,"existing","L","1","0","0","B1"
40,"L040","Nam Ou 6",21.7791999876,102.195300051,60,349,5527,157,180,840,311.99,510,490,246,694.1,16.92,108,2007,311.99,2017,"C",2.25527250510331,"existing","L","1","0","0","B1"
41,"L041","Nam Ou 7",22.088299988,102.258300052,104,235,3477,103,210,725,419.74,630,600,1060,1469.2,46.7,147,2007,419.74,2018,"E",2.32221929473392,"existing","L","1","0","0","B1"
42,"L042","Nam Lik 1",18.6166999847,102.36694389,19.5,300,5050,224.5,64,255,96.1,195,191,6.8,175.7,14,36.5,2007,96.1,2018,"C",1.80617997398389,"existing","L","1","0","0","B1"
