"Code","Name","InstalledC","Status","B","B_rank","F","F_rank","M","M_rank","R","R_rank","retrofitted"
"L001","Nam Ngum 1",155,"E",0.4,67,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L003","Xelabam",5,"E",0.04,91,"Existing",NA,"Existing",NA,"Removed",NA,"Yes"
"L004","Xeset 1",45,"E",0.14,84,"Existing",NA,"Existing",NA,"Removed",NA,"Yes"
"L005","Theun-Hinboun",220,"E",0.72,34,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L009","Nam Ko",1.5,"E",0.52,63,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L010","Nam Ngay",1.2,"E",0.58,49,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L012","Xekaman 3",250,"C",0.93,8,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L014","Nam Ngum 2",615,"E",0.94,4,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L015","Nam Lik 1-2",100,"E",0.39,68,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L017","Xekaman 1",290,"C",0.89,19,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L018","Xekaman-Sanxay",32,"C",0.08,87,"Existing",NA,"Existing",NA,"Removed",NA,"Yes"
"L019","Theun-Hinboun expansion",220,"E",0.71,38,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L020","Theun-Hinboun exp. (NG8)",60,"E",0.3,75,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L021","Nam Ngum 3",480,"C",0.96,1,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L022","Nam Theun1",600,"C",0.72,36,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L023","Nam Ngiep 1",272,"C",0.54,60,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L024","Nam Ngiep-regulating dam",18,"C",0.54,61,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L025","Nam Tha 1",168,"C",0.34,73,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L028","Xekatam",68,"E",0.45,65,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L029","Xekong 4",380,"P",0.61,47,"0.26",34,"0.23",31,"0.58",25,"No"
"L030","Nam Kong 1",150,"E",0.94,6,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L031","Xe Kong 3up",105,"P",0.61,48,"0.25",35,"0.23",32,"0.53",27,"Yes"
"L032","Xe Kong 3d",100,"P",0.38,70,"0.22",37,"0.13",38,"0.46",31,"Yes"
"L033","Xe Kong 5",330,"P",0.61,46,"0.32",31,"0.22",33,"0.6",24,"No"
"L034","Mekong at Don sahong",260,"C",0.17,81,"Existing",NA,"Existing",NA,"Removed",NA,"Yes"
"L035","Nam Ou 1",180,"E",0.64,43,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L036","Nam Ou 2",120,"C",0.57,52,"Existing",NA,"Existing",NA,"Removed",NA,"No"
"L038","Nam Ou 4",132,"E",0.79,30,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L039","Nam Ou 5",240,"C",0.79,28,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L040","Nam Ou 6",180,"C",0.79,27,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L041","Nam Ou 7",210,"E",0.78,31,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L042","Nam Lik 1",64,"C",0.94,5,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L044","Nam Pha",180,"C",0.24,79,"Existing",NA,"Existing",NA,"Removed",NA,"No"
"L045","Nam Seuang 1",42,"P",0.35,72,"0.44",27,"0.49",26,"0.56",26,"Yes"
"L046","Nam Seuang 2",134,"P",0.72,37,"0.78",13,"0.84",9,"0.94",7,"No"
"L047","Nam Nga 1",100,"P",0.68,41,"0.96",2,"0.97",2,"0.95",5,"Yes"
"L048","Nam Beng",36,"C",0.52,62,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L049","Nam Feuang 1",28,"P",0.7,40,"0.75",14,"0.81",12,"0.77",16,"No"
"L052","Mekong at Pakbeng",912,"P",0.57,50,"0.9",9,"0.91",5,"0.7",18,"No"
"L053","Mekong at Luangprabang",1200,"P",0.57,51,"0.94",4,"0.95",3,"0.7",19,"No"
"L054","Mekong at Xayabuly",1260,"C",0.57,53,"Existing",NA,"Existing",NA,"Removed",NA,"No"
"L055","Mekong at Paklay",1320,"P",0.57,55,"0.82",12,"0.83",10,"0.68",20,"No"
"L056","Mekong at Sanakham",660,"P",0.54,58,"0.74",15,"0.78",14,"0.64",21,"Yes"
"L057","Mekong at Sangthong-Pakchom",1079,"P",0.54,59,"0.74",16,"0.74",17,"0.63",22,"Yes"
"L058","Mekong at Ban Kum",1872,"P",0.08,88,"0.56",25,"0.36",28,"0.23",35,"Yes"
"L059","Mekong at Latsua (Phou Ngoy)",651,"P",0.17,80,"0.56",26,"0.21",34,"0.05",43,"Yes"
"L061","Xe Kaman 2A",64,"P",0.88,20,"0.67",20,"0.58",22,"0.82",14,"No"
"L062","Xe Kaman 2B",100,"P",0.89,18,"0.68",19,"0.68",18,"0.86",12,"No"
"L066","Nam Khan 1",101.8,"P",0.79,26,"0.95",3,"0.94",4,"0.95",3,"No"
"L067","Nam Khan 2",130,"E",0.64,44,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L068","Nam Khan 3 (Down)",60,"E",0.49,64,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"L069","Nam Ngum 4",220,"P",0.95,2,"0.92",5,"0.91",6,"0.97",1,"No"
"L070","Nam Ngum 4B",54,"P",0.94,3,"0.91",7,"0.85",8,"0.91",8,"Yes"
"L071","Nam Ngum, (down) Lower dam",110,"P",0.15,83,"0.24",36,"0.17",35,"0.44",32,"Yes"
"L074","Nam Pouy 1",60,"P",0.57,54,"0.72",18,"0.86",7,"0.89",10,"No"
"L075","Nam Poun",50,"C",0.8,25,"Existing",NA,"Existing",NA,"Existing",NA,"No"
