"binomial","area"
"Aaptosyax grypus",56332.2
"Acanthopsoides gracilis",8847.9
"Acanthopsoides molobrion",87279.3000000001
"Acantopsis dialuzona",420528.2
"Acantopsis dinema",10791
"Acantopsis rungthipae",15414.3
"Acantopsis spectabilis",2917.4
"Acentrogobius audax",256.4
"Acheilognathus barbatulus",2767.6
"Acheilognathus deignani",44835.4
"Acheilognathus kyphus",189172.7
"Achiroides melanorhynchus",51626.9
"Acrossocheilus aluoiensis",6760
"Akysis bilustris",2676.5
"Akysis clinatus",55.7
"Akysis ephippifer",2827.7
"Akysis fuliginatus",29261.6
"Akysis maculipinnis",55.7
"Akysis varius",59849.1
"Albulichthys albuloides",19929.8
"Ambassis urotaenia",195.4
"Ambastaia nigrolineata",34565.9
"Amblyceps apangi",3485.5
"Amblyceps arunchalensis",3485.5
"Amblyceps caecutiens",45250.9000000001
"Amblyceps foratum",718
"Amblyceps mangois",4147.8
"Amblyceps murraystuarti",3485.5
"Amblyceps serratum",112986
"Amblyceps tenuispinis",3485.5
"Amblyrhynchichthys micracanthus",148362.3
"Amblyrhynchichthys truncatus",200603.2
"Anabas testudineus",610139.800000001
"Ancherythroculter daovantieni",297.2
"Anematichthys repasson",288691
"Anguilla bengalensis",48778.4
"Anguilla bicolor",203923.1
"Anguilla marmorata",560723.300000001
"Annamia normani",59414.6
"Aplocheilus panchax",85810.8999999999
"Arothron immaculatus",2054.5
"Aurigequula fasciata",982.2
"Auriglobus modestus",51271.1999999999
"Auriglobus nefastus",89181.8999999999
"Awaous grammepomus",931.7
"Badis badis",1260
"Badis ruber",48928.2
"Bagarius bagarius",6895.6
"Bagarius suchus",461175.5
"Bagarius yarrelli",6895.6
"Bagrichthys majusculus",230630.6
"Bagrichthys obscurus",96512.4999999998
"Balitora annamitica",248260.8
"Balitora lancangjiangensis",155479.3
"Balitoropsis zollingeri",158889
"Bangana behri",131235.6
"Bangana elegans",22149.5
"Bangana lippus",44793.5
"Bangana yunnanensis",515702.2
"Barbichthys laevis",447047.9
"Barbodes aurotaeniatus",12983.6
"Barbodes binotatus",3485.5
"Barbodes rhombeus",165509
"Barbodes semifasciolatus",4759.9
"Barbonymus altus",495385.3
"Barbonymus gonionotus",442326.5
"Barilius ornatus",279745.5
"Belodontichthys dinema",3762
"Belodontichthys truncatus",359955.7
"Betta imbellis",2490.5
"Betta prima",81003.6
"Betta smaragdina",213381.9
"Betta stiktos",4273.5
"Boesemania microlepis",92639.7
"Boraras micros",4638.6
"Boraras urophthalmoides",18659.9
"Bostrychus sinensis",931.7
"Brachirus aenea",2473
"Brachirus elongatus",10589.8
"Brachirus harmandi",256469.8
"Brachirus panoides",59966.7
"Brachirus siamensis",76617.8999999999
"Brachygobius doriae",931.7
"Brachygobius kabiliensis",18065.9
"Butis amboinensis",1587.1
"Caragobius urolepis",35769.8
"Carassioides acuminatus",297.2
"Carassioides phongnhaensis",154.9
"Carassius auratus",2462.6
"Carassius carassius",2462.6
"Carassius langsdorfii",2462.6
"Carinotetraodon lorteti",24758.6
"Catlocarpio siamensis",373446.4
"Channa burmanica",3258.5
"Channa gachua",610139.800000001
"Channa lucius",161004.6
"Channa maculata",28152.7
"Channa marulius",610139.800000001
"Channa micropeltes",5164.6
"Channa orientalis",3258.5
"Channa striata",29172.2
"Chaudhuria caudata",203799.9
"Chaudhuria fusipinnis",1807.7
"Chirostoma jordani",1872.9
"Chitala blanci",132173.1
"Chitala ornata",318131.7
"Cirrhinus caudimaculatus",290183.6
"Cirrhinus jullieni",130494.9
"Cirrhinus microlepis",222474
"Cirrhinus molitorella",178149.7
"Clarias batrachus",10626.8
"Clarias fuscus",2119.9
"Clarias leiacanthus",2645.2
"Clarias macrocephalus",171836.9
"Clarias meladerma",5209.6
"Clarias nieuhofii",37924.6
"Clupeichthys aesarnensis",395683.4
"Clupeoides borneensis",100432.8
"Clupisoma sinense",605281.700000001
"Cobitis laoensis",2504.3
"Cobitis longitaeniatus",154.9
"Cobitis phongnhaensis",154.9
"Cobitis squataeniatus",154.9
"Coilia lindmani",160470.3
"Coreoperca whiteheadi",87.2
"Corica laciniata",354509
"Cosmochilus harmandi",288942.5
"Crenimugil buchanani",12227.8
"Crenimugil heterocheilos",2680.8
"Crossocheilus atrilimes",318798.4
"Crossocheilus nigriloba",169.2
"Crossocheilus oblongus",303931.3
"Crossocheilus reticulatus",294679.2
"Crossocheilus tchangi",18322.3
"Culter flavipinnis",297.2
"Cyclocheilichthys apogon",167663
"Cyclocheilichthys enoplos",240806.1
"Cyclocheilichthys furcatus",90139.9999999999
"Cyclocheilichthys heteronema",118341.7
"Cyclocheilichthys lagleri",72361.3
"Cynoglossus feldmanni",53742.3999999999
"Cynoglossus microlepis",90598.5
"Cynoglossus trigrammus",139
"Cyprinus carpio",8230.4
"Cyprinus exophthalmus",154.9
"Cyprinus hieni",154.9
"Cyprinus melanes",142.3
"Cyprinus multitaeniatus",8230.4
"Cyprinus rubrofuscus",8230.4
"Danio albolineatus",11420.3
"Danio quangbinhensis",154.9
"Danio roseus",192606.7
"Danio trangi",154.9
"Datnioides polota",2883.4
"Datnioides pulcher",59696.5
"Datnioides undecimradiatus",216824
"Dermogenys pusilla",18129.2
"Dermogenys siamensis",425669.3
"Devario acrostomus",32042.1
"Devario apopyris",664.8
"Devario chrysotaeniatus",34412.5
"Devario fangfangae",5001.7
"Devario gibber",17302.3
"Devario laoensis",64177.9
"Devario leptos",35083.8
"Devario salmonata",8391.9
"Dichotomyctere ocellatus",34694.8
"Discherodontus ashmeadi",167339.8
"Discherodontus parvus",15866.1
"Discherodontus schroederi",10363.9
"Doryichthys boaja",175510.4
"Doryichthys contiguus",224565.3
"Doryichthys deokhatoides",85755.1999999999
"Eleotris fusca",931.7
"Eleotris melanosoma",578.8
"Ellochelon vaigiensis",7234.3
"Elops machnata",15404.7
"Epalzeorhynchos frenatus",285504.2
"Epalzeorhynchos munense",300093.699999999
"Equulites leuciscus",5392.1
"Esomus ahli",16443.6
"Esomus danrica",21371.5
"Esomus longimanus",256242
"Esomus metallicus",279712.6
"Eubleekeria splendens",2680.8
"Eugnathogobius siamensis",109101.7
"Exyrias puntang",3038.3
"Favonigobius reichei",2031.2
"Fibramia lateralis",202.6
"Folifer brevifilis",90552.1
