"binomial","area"
"Aaptosyax grypus",56332.2
"Ambastaia nigrolineata",34565.9
"Amblyceps arunchalensis",3485.5
"Bagarius bagarius",6895.6
"Catlocarpio siamensis",373446.4
"Channa orientalis",3258.5
"Cirrhinus microlepis",222474
"Cyprinus carpio",8230.4
"Datnioides pulcher",59696.5
"Datnioides undecimradiatus",216824
"Devario apopyris",664.8
"Epalzeorhynchos munense",300093.699999999
"Garra flavatra",48662.8
"Hemimyzon confluens",16666.5
"Hypsibarbus lagleri",57733.7
"Labeo pierrei",62084.2
"Luciocyprinus striolatus",59167.4
"Mugilogobius latifrons",3210.8
"Mystacoleucus lepturus",53082.2000000001
"Mystus bocourti",4492
"Nemacheilus banar",5202.7
"Oreochromis mossambicus",4998.2
"Oreoglanis lepturus",994.8
"Osphronemus exodon",260240.9
"Oxygaster pointoni",244950
"Pangasianodon gigas",82014.4
"Pangasianodon hypophthalmus",373446.4
"Pangasius krempfi",224597.9
"Pangasius sanitwongsei",283167.8
"Poropuntius bolovenensis",9817.1
"Poropuntius consternans",9817.1
"Poropuntius deauratus",6854.5
"Poropuntius lobocheiloides",9817.1
"Poropuntius solitus",9817.1
"Poropuntius speleops",4816.8
"Probarbus jullieni",85228.2
"Probarbus labeamajor",66428.5
"Pseudohemiculter dispar",231340.2
"Pterocryptis inusitata",4006.9
"Rasbora lateristriata",22902
"Rhinogobius albimaculatus",1137
"Rhinogobius chiengmaiensis",2115.6
"Rhinogobius lineatus",7776.6
"Rhodeus laoensis",8452.5
"Scaphognathops bandanensis",91191.9
"Scaphognathops theunensis",6781.8
"Schistura atra",4006.9
"Schistura bairdi",20958.7
"Schistura bolavenensis",8116.5
"Schistura kaysonei",5685.5
"Schistura kontumensis",20027.1
"Schistura leukensis",1807.7
"Schistura nudidorsum",22709.6
"Schistura tenura",1807.7
"Schistura tubulinaris",4006.9
"Scleropages formosus",51894.2
"Serpenticobitis cingulata",74623
"Sewellia breviventralis",3100.2
"Sewellia patella",3472.2
"Tenualosa thibaudeaui",85646.5
"Terateleotris aspro",5685.5
"Tor sinensis",14952.8
"Troglocyclocheilus khammouanensis",3669.2
"Wallago attu",582286.300000001
