"binomial","area"
"Aaptosyax grypus",56332.2
"Bagarius yarrelli",6895.6
"Bangana behri",131235.6
"Boesemania microlepis",92639.7
"Catlocarpio siamensis",373446.4
"Chitala blanci",132173.1
"Chitala ornata",318131.7
"Cirrhinus microlepis",222474
"Cyclocheilichthys enoplos",240806.1
"Hampala dispar",198778.5
"Hampala macrolepidota",386261.399999999
"Helicophagus waandersii",4107.8
"Hemibagrus filamentus",59293.9
"Labeo chrysophekadion",362258.600000001
"Lycothrissa crocodilus",46193.6
"Notopterus notopterus",583322.800000001
"Pangasianodon gigas",82014.4
"Pangasianodon hypophthalmus",373446.4
"Pangasius bocourti",194255.7
"Pangasius conchophilus",178747.7
"Pangasius elongatus",180879.8
"Pangasius krempfi",224597.9
"Pangasius larnaudii",214935.1
"Pangasius macronema",419116.4
"Pangasius mekongensis",221377.5
"Pangasius sanitwongsei",283167.8
"Paralaubuca typus",151050.6
"Probarbus jullieni",85228.2
"Puntioplites falcifer",171780.4
"Tenualosa thibaudeaui",85646.5
"Wallago attu",582286.300000001
